Date,Name,Year,Letterboxd URI
2019-04-02,A Single Man,2009,https://boxd.it/1dx4
2019-04-02,Somewhere,2010,https://boxd.it/14du
2019-04-02,Irreversible,2002,https://boxd.it/29as
2019-04-02,Medicine for Melancholy,2008,https://boxd.it/1wPc
2019-04-02,To the Wonder,2012,https://boxd.it/gpU
2019-04-02,Knight of Cups,2015,https://boxd.it/34Qq
2019-04-02,Song to Song,2017,https://boxd.it/aR5C
2019-04-05,Santa Sangre,1989,https://boxd.it/1FrI
2019-04-05,Begin Again,2013,https://boxd.it/5Ybs
2019-04-05,My Blueberry Nights,2007,https://boxd.it/27H0
2019-04-05,Oasis,2002,https://boxd.it/1sO0
2019-04-17,35 Shots of Rum,2008,https://boxd.it/1unA
2019-05-30,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG
2019-06-01,The Red Turtle,2016,https://boxd.it/bdkE
2019-06-02,Sympathy for Lady Vengeance,2005,https://boxd.it/248G
2019-06-02,Thirst,2009,https://boxd.it/1Aqq
2019-06-13,Visitor Q,2001,https://boxd.it/24DE
2019-06-13,12 Angry Men,1957,https://boxd.it/2auI
2019-06-13,Serpico,1973,https://boxd.it/1ZjE
2019-06-13,Fail Safe,1964,https://boxd.it/2afS
2019-06-13,Turistas,2006,https://boxd.it/1XMY
2019-06-13,The Right Stuff,1983,https://boxd.it/1YoS
2019-06-13,Ryan's Daughter,1970,https://boxd.it/14O6
2019-06-14,Night on Earth,1991,https://boxd.it/2ayq
2019-06-18,Flushed Away,2006,https://boxd.it/1Tpm
2019-06-21,Queen of Hearts,2019,https://boxd.it/iQ8Q
2019-06-21,Koko-di Koko-da,2019,https://boxd.it/kIni
2019-06-21,This Is Not Berlin,2019,https://boxd.it/kjSq
2019-06-21,Greener Grass,2019,https://boxd.it/jYoY
2019-06-21,The Infiltrators,2019,https://boxd.it/kJ1i
2019-06-21,Life Overtakes Me,2019,https://boxd.it/lRaE
2019-06-28,The Bling Ring,2013,https://boxd.it/3lPY
2019-07-01,Ice Cream Man,1995,https://boxd.it/RSa
2019-07-04,The Death of Stalin,2017,https://boxd.it/ea9Y
2019-07-04,Man on the Moon,1999,https://boxd.it/281k
2019-07-06,Blood Simple,1984,https://boxd.it/1U16
2019-07-06,Time Bandits,1981,https://boxd.it/19KI
2019-07-08,Koyaanisqatsi,1982,https://boxd.it/1U9E
2019-07-08,The Rules of the Game,1939,https://boxd.it/29Es
2019-07-25,It's Such a Beautiful Day,2012,https://boxd.it/hCY2
2019-07-25,Love Exposure,2008,https://boxd.it/1pDe
2019-07-25,Animals,2014,https://boxd.it/7qFW
2019-07-25,Drugstore Cowboy,1989,https://boxd.it/2aj6
2019-07-25,28 Days,2000,https://boxd.it/1WbM
2019-07-25,Smashed,2012,https://boxd.it/2Y2k
2019-07-29,Timbuktu,2014,https://boxd.it/7UrK
2019-07-29,This Is Not a Film,2011,https://boxd.it/2W4o
2019-07-30,Pitch Black,2000,https://boxd.it/26iS
2019-08-01,Bad Times at the El Royale,2018,https://boxd.it/fSA2
2019-08-04,Luce,2019,https://boxd.it/hKuu
2019-08-10,The Hunt,2012,https://boxd.it/3wEC
2019-08-10,Dekalog,1989,https://boxd.it/bv4u
2019-08-10,Samsara,2011,https://boxd.it/3ada
2019-08-10,Happy Together,1997,https://boxd.it/1Ha0
2019-08-10,Blindspotting,2018,https://boxd.it/hDMw
2019-08-12,The Turin Horse,2011,https://boxd.it/2Qsk
2019-08-18,A Brighter Summer Day,1991,https://boxd.it/1Luy
2019-08-18,Tokyo Story,1953,https://boxd.it/1HuY
2019-08-22,All These Sleepless Nights,2016,https://boxd.it/d55U
2019-08-24,The Last Resort,2018,https://boxd.it/iE3u
2019-08-25,An Officer and a Gentleman,1982,https://boxd.it/26xS
2019-09-03,Years and Years,2019,https://boxd.it/meLI
2019-09-05,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2019-09-07,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE
2019-09-07,The Purge: Anarchy,2014,https://boxd.it/71zk
2019-09-12,Chained for Life,2018,https://boxd.it/j6n8
2019-09-13,Hustlers,2019,https://boxd.it/jIBM
2019-09-16,A Moment of Innocence,1996,https://boxd.it/T6W
2019-09-16,Unbelievable,2019,https://boxd.it/noio
2019-09-30,Ugetsu,1953,https://boxd.it/1NyM
2019-10-11,The Strangers,2008,https://boxd.it/1VGY
2019-10-15,Cannibal Holocaust,1980,https://boxd.it/1ZWQ
2019-10-16,Werckmeister Harmonies,2000,https://boxd.it/1zzw
2019-10-16,Breaking the Waves,1996,https://boxd.it/2b1W
2019-10-25,War Room,2015,https://boxd.it/avCu
2019-11-12,On the Beach at Night Alone,2017,https://boxd.it/fqEK
2019-11-12,Minding the Gap,2018,https://boxd.it/hDNu
2019-11-12,The Act of Killing,2012,https://boxd.it/44Cg
2019-11-13,Winter Sleep,2014,https://boxd.it/7Ua0
2019-11-13,Black Orpheus,1959,https://boxd.it/11PU
2019-11-19,Bigger Than Life,1956,https://boxd.it/1uB8
2019-12-11,L'Argent,1983,https://boxd.it/XIg
2019-12-12,Long Day's Journey Into Night,1962,https://boxd.it/Vxq
2019-12-13,The Hottest August,2019,https://boxd.it/lkUO
2019-12-13,The Beach Bum,2019,https://boxd.it/fH4O
2019-12-13,Transit,2018,https://boxd.it/gUK6
2019-12-13,Pain and Glory,2019,https://boxd.it/iOBQ
2019-12-13,Her Smell,2018,https://boxd.it/iT5q
2019-12-13,Synonyms,2019,https://boxd.it/i6De
2019-12-13,The Farewell,2019,https://boxd.it/kIky
2019-12-14,A Hidden Life,2019,https://boxd.it/eb1Q
2019-12-21,Coherence,2013,https://boxd.it/6xza
2019-12-22,King Kong,2005,https://boxd.it/2aLa
2019-12-25,Heaven Knows What,2014,https://boxd.it/8P1a
2019-12-26,Elephant,2003,https://boxd.it/287i
2019-12-26,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo
2019-12-26,The Sea of Trees,2015,https://boxd.it/987m
2019-12-26,Fantastic Planet,1973,https://boxd.it/1KnQ
2019-12-30,Nine 1/2 Weeks,1986,https://boxd.it/1XaA
2020-01-02,A Tale of Two Sisters,2003,https://boxd.it/248m
2020-01-03,Watership Down,1978,https://boxd.it/1SYg
2020-01-03,Beginners,2010,https://boxd.it/s2S
2020-01-07,The Cove,2009,https://boxd.it/1zCq
2020-01-14,The Ascent,1977,https://boxd.it/Eew
2020-01-17,Brothers,2009,https://boxd.it/20WW
2020-01-18,La Flor,2018,https://boxd.it/eZCs
2020-01-18,Invisible Life,2019,https://boxd.it/k1JU
2020-01-18,Aniara,2018,https://boxd.it/hUMe
2020-01-20,Hotel Chevalier,2007,https://boxd.it/21Ic
2020-01-21,Cries and Whispers,1972,https://boxd.it/1WK8
2020-01-21,Autumn Sonata,1978,https://boxd.it/1Rio
2020-01-22,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2020-01-22,A Short Film About Killing,1988,https://boxd.it/1VtK
2020-01-22,Thunder Road,2018,https://boxd.it/i8Hs
2020-01-24,Point Break,1991,https://boxd.it/2958
2020-01-24,The Last Thing He Wanted,2020,https://boxd.it/ig5G
2020-01-25,Falling,2020,https://boxd.it/khy4
2020-01-25,Honeyland,2019,https://boxd.it/kL8K
2020-01-26,Incendies,2010,https://boxd.it/Msm
2020-01-29,Beyond the Valley of the Dolls,1970,https://boxd.it/22GQ
2020-01-29,Valley of the Dolls,1967,https://boxd.it/25QY
2020-01-30,Medium Cool,1969,https://boxd.it/WsQ
2020-01-31,Repulsion,1965,https://boxd.it/1TKu
2020-02-04,The Key,1983,https://boxd.it/1pwM
2020-02-04,La Dolce Vita,1960,https://boxd.it/2anC
2020-02-05,Corpus Christi,2019,https://boxd.it/gULy
2020-02-08,The Face of Another,1966,https://boxd.it/1nso
2020-02-08,Contempt,1963,https://boxd.it/2aJe
2020-02-08,Valerie and Her Week of Wonders,1970,https://boxd.it/NsC
2020-02-08,Last Tango in Paris,1972,https://boxd.it/28pw
2020-02-10,Bridesmaids,2011,https://boxd.it/rac
2020-02-10,The Edge of Democracy,2019,https://boxd.it/kLiA
2020-02-10,American Assassin,2017,https://boxd.it/eFLE
2020-02-12,Le Bonheur,1965,https://boxd.it/xyk
2020-02-15,True Romance,1993,https://boxd.it/2aBa
2020-02-15,Roman Holiday,1953,https://boxd.it/29zW
2020-02-17,L'Eclisse,1962,https://boxd.it/1CoG
2020-02-24,La Haine,1995,https://boxd.it/2as8
2020-02-25,Ice Mother,2017,https://boxd.it/gaty
2020-02-25,Katka,2010,https://boxd.it/2dFk
2020-02-26,Marketa Lazarová,1967,https://boxd.it/1uSS
2020-02-26,Cosy Dens,1999,https://boxd.it/1MkO
2020-02-26,Higher Principle,1960,https://boxd.it/63cA
2020-02-26,The Elementary School,1991,https://boxd.it/1HvW
2020-02-29,Juliet of the Spirits,1965,https://boxd.it/1FF6
2020-03-01,There's Something About Mary,1998,https://boxd.it/2aae
2020-03-11,Still Walking,2008,https://boxd.it/1wvm
2020-03-20,THX 1138,1971,https://boxd.it/29Ww
2020-03-26,Days of Being Wild,1990,https://boxd.it/1HbC
2020-03-26,Enter the Dragon,1973,https://boxd.it/1YCA
2020-03-26,An Unmarried Woman,1978,https://boxd.it/15kG
2020-03-28,Paradise: Faith,2012,https://boxd.it/4erW
2020-03-28,River's Edge,1986,https://boxd.it/1C7q
2020-03-28,The Double,2013,https://boxd.it/4DLW
2020-03-29,Girlhood,2014,https://boxd.it/7WyI
2020-03-29,Tomboy,2011,https://boxd.it/49U
2020-03-29,Water Lilies,2007,https://boxd.it/1VjK
2020-03-29,The Skeleton Twins,2014,https://boxd.it/7bCS
2020-03-29,Evil Town,1987,https://boxd.it/629U
2020-03-30,Bad Lieutenant,1992,https://boxd.it/1Src
2020-03-30,New Rose Hotel,1998,https://boxd.it/1BVY
2020-03-30,Play,2011,https://boxd.it/32hy
2020-03-30,The Double Life of Véronique,1991,https://boxd.it/28va
2020-03-30,Orgazmo,1997,https://boxd.it/1ZXO
2020-04-01,Exam,2009,https://boxd.it/1mn8
2020-04-01,Ichi the Killer,2001,https://boxd.it/1Y1O
2020-04-01,The Collection,2012,https://boxd.it/4lKm
2020-04-01,The Passion of the Christ,2004,https://boxd.it/29ZK
2020-04-04,Possession,1981,https://boxd.it/1BPm
2020-04-04,Ain't Them Bodies Saints,2013,https://boxd.it/4OgA
2020-04-04,Upstream Color,2013,https://boxd.it/4Cwc
2020-04-05,Gymkata,1985,https://boxd.it/1NPo
2020-04-05,Die Another Day,2002,https://boxd.it/1a5G
2020-04-05,Goldfinger,1964,https://boxd.it/29SY
2020-04-05,Milk Money,1994,https://boxd.it/1Zre
2020-04-05,My Neighbor Totoro,1988,https://boxd.it/20eA
2020-04-06,The Best of Youth,2003,https://boxd.it/1Tje
2020-04-06,Satantango,1994,https://boxd.it/1j9M
2020-04-06,Naked,1993,https://boxd.it/1BT4
2020-04-06,Wild at Heart,1990,https://boxd.it/2aii
2020-04-06,Panic Button,2011,https://boxd.it/2Ijk
2020-04-06,Bob & Carol & Ted & Alice,1969,https://boxd.it/1tIM
2020-04-06,Awakenings,1990,https://boxd.it/1USu
2020-04-06,War and Peace,1965,https://boxd.it/1nRy
2020-04-06,Come and See,1985,https://boxd.it/1w9q
2020-04-06,The Piano Teacher,2001,https://boxd.it/2886
2020-04-06,Chloe,2009,https://boxd.it/1pZk
2020-04-06,House of Tolerance,2011,https://boxd.it/2Yjq
2020-04-07,Roadgames,1981,https://boxd.it/VjI
2020-04-07,Cover Me Babe,1970,https://boxd.it/9EQe
2020-04-08,The Long Day Closes,1992,https://boxd.it/EMy
2020-04-08,The Visitor,1979,https://boxd.it/vdO
2020-04-08,The Big Chill,1983,https://boxd.it/1RHI
2020-04-08,The Inauguration of the Pleasure Dome,1954,https://boxd.it/UJU
2020-04-09,Happy End,2017,https://boxd.it/dZ2C
2020-04-09,Code Unknown,2000,https://boxd.it/1kaw
2020-04-11,Shin Godzilla,2016,https://boxd.it/a9lm
2020-04-11,A Taxi Driver,2017,https://boxd.it/fwac
2020-04-11,The President's Last Bang,2005,https://boxd.it/ZBQ
2020-04-12,Revenge,2017,https://boxd.it/gL9g
2020-04-12,Europa Europa,1990,https://boxd.it/1ZpW
2020-04-13,Samurai Cop,1991,https://boxd.it/3Na
2020-04-13,The Heartbreak Kid,1972,https://boxd.it/11aM
2020-04-14,Walkabout,1971,https://boxd.it/1bsG
2020-04-14,Election,1999,https://boxd.it/1YEc
2020-04-15,Don't Look Now,1973,https://boxd.it/29fC
2020-04-16,The Bamboo House of Dolls,1973,https://boxd.it/12Ee
2020-04-19,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s
2020-04-19,Long Day's Journey Into Night,2018,https://boxd.it/hw1I
2020-04-19,Mission to Mars,2000,https://boxd.it/27w2
2020-04-20,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk
2020-04-22,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2020-04-23,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am
2020-04-24,Monterey Pop,1968,https://boxd.it/WpC
2020-04-24,Circle of Iron,1978,https://boxd.it/1yQw
2020-04-24,Good Morning,1959,https://boxd.it/2lkk
2020-04-24,Make Way for Tomorrow,1937,https://boxd.it/10hC
2020-04-24,My Own Private Idaho,1991,https://boxd.it/2ak4
2020-04-24,Les Misérables,2019,https://boxd.it/lAPA
2020-04-25,Salesman,1969,https://boxd.it/1rWC
2020-04-26,The Fifth Element,1997,https://boxd.it/71k
2020-04-26,Where Is My Friend's House?,1987,https://boxd.it/ELg
2020-04-26,Like Someone in Love,2012,https://boxd.it/3tOu
2020-04-26,"Life, and Nothing More...",1992,https://boxd.it/2WEc
2020-04-27,Blow-Up,1966,https://boxd.it/2966
2020-04-27,Beyond the Black Rainbow,2010,https://boxd.it/EzY
2020-04-28,Bumfights: Cause for Concern,2002,https://boxd.it/19ik
2020-04-28,The Pit and the Pendulum,1991,https://boxd.it/Lzm
2020-04-29,My Life as a Dog,1985,https://boxd.it/1ZOM
2020-04-29,The Conversation,1974,https://boxd.it/2a38
2020-04-29,Foxcatcher,2014,https://boxd.it/35Di
2020-04-29,Devs,2020,https://boxd.it/ppHI
2020-05-03,Piku,2015,https://boxd.it/aXUc
2020-05-03,Seconds,1966,https://boxd.it/1Dbe
2020-05-03,Master of the House,1925,https://boxd.it/rto
2020-05-03,State of Siege,1972,https://boxd.it/3dao
2020-05-03,Jigoku,1960,https://boxd.it/EfY
2020-05-03,The Naked Prey,1965,https://boxd.it/1GOo
2020-05-03,Green for Danger,1946,https://boxd.it/1n9c
2020-05-03,Loves of a Blonde,1965,https://boxd.it/13NG
2020-05-04,Noroi: The Curse,2005,https://boxd.it/1BN6
2020-05-04,Catwoman,2004,https://boxd.it/2aBY
2020-05-05,Mysterious Skin,2004,https://boxd.it/1UsG
2020-05-05,Never Look Away,2018,https://boxd.it/eZns
2020-05-05,Waking Life,2001,https://boxd.it/1Zdc
2020-05-05,The Prophet,2014,https://boxd.it/8Keo
2020-05-05,Reality Bites,1994,https://boxd.it/26iI
2020-05-07,Girl on the Third Floor,2019,https://boxd.it/llgU
2020-05-07,Notorious,1946,https://boxd.it/2aDK
2020-05-07,Bringing Up Baby,1938,https://boxd.it/29ks
2020-05-08,Babyteeth,2019,https://boxd.it/iWDU
2020-05-09,Drag Me to Hell,2009,https://boxd.it/1Jzw
2020-05-19,Bamboozled,2000,https://boxd.it/1xfa
2020-05-26,Snowtown,2011,https://boxd.it/2f1Q
2020-06-08,Platform,2000,https://boxd.it/2O0S
2020-06-10,Holy Rollers,2010,https://boxd.it/QwW
2020-06-10,Punisher: War Zone,2008,https://boxd.it/1QWM
2020-06-21,The Blues Brothers,1980,https://boxd.it/2adi
2020-06-30,The Coldest Game,2019,https://boxd.it/lxZM
2020-07-04,The Night of the Hunter,1955,https://boxd.it/25HW
2020-07-05,To Catch a Thief,1955,https://boxd.it/2avm
2020-07-06,Splice,2009,https://boxd.it/17HW
2020-07-24,"Kiss Me, Stupid",1964,https://boxd.it/xyE
2020-08-09,The Hater,2020,https://boxd.it/lKs2
2020-08-20,Ran,1985,https://boxd.it/1Tlu
2020-08-28,Short Cuts,1993,https://boxd.it/29Nk
2020-09-11,The Hidden,1987,https://boxd.it/1RUW
2020-09-30,Song of the Sea,2014,https://boxd.it/3Ic6
2020-10-04,F for Fake,1973,https://boxd.it/VxA
2020-10-14,Dead Man,1995,https://boxd.it/29h4
2020-10-17,Charlie Wilson's War,2007,https://boxd.it/21yc
2020-10-19,Apples,2020,https://boxd.it/ofco
2020-10-27,Bellas de noche,1975,https://boxd.it/bdYu
2020-10-28,Wings of Desire,1987,https://boxd.it/2b26
2020-11-02,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2020-11-05,His House,2020,https://boxd.it/l8Qq
2020-11-10,Casa De Mi Padre,2012,https://boxd.it/2NDE
2020-11-10,Saving Private Perez,2011,https://boxd.it/7MK
2020-11-10,Spare Parts,2015,https://boxd.it/7Sgq
2020-11-11,The American President,1995,https://boxd.it/1Zce
2020-11-14,Away We Go,2009,https://boxd.it/1FpW
2020-11-16,Lucia,1968,https://boxd.it/38mk
2020-11-17,Black Girl,1966,https://boxd.it/3jIQ
2020-11-18,Duplex,2003,https://boxd.it/2134
2020-11-24,Only Lovers Left Alive,2013,https://boxd.it/4O1U
2020-11-24,I Know This Much Is True,2020,https://boxd.it/pVeo
2020-11-24,Searching,2018,https://boxd.it/hDPg
2020-11-26,Willard,1971,https://boxd.it/WFg
2020-11-27,Run,2020,https://boxd.it/jVM4
2020-11-29,Midnight Run,1988,https://boxd.it/1ZnQ
2020-12-09,Descent,2020,https://boxd.it/qx4G
2020-12-09,Killer of Sheep,1978,https://boxd.it/1rPc
2020-12-09,The Great Beauty,2013,https://boxd.it/5ty6
2020-12-14,On the Job,2013,https://boxd.it/5Luc
2020-12-14,The Love Witch,2016,https://boxd.it/cZie
2020-12-14,Ema,2019,https://boxd.it/jHWa
2020-12-14,Troop Zero,2019,https://boxd.it/j6TS
2020-12-14,Marlina the Murderer in Four Acts,2017,https://boxd.it/gazQ
2020-12-14,No,2012,https://boxd.it/3Ie2
2020-12-14,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO
2020-12-14,Lucky,2017,https://boxd.it/el3M
2020-12-14,"Murder Me, Monster",2018,https://boxd.it/iPkm
2020-12-14,The Untamed,2016,https://boxd.it/dwAK
2020-12-18,Collective,2019,https://boxd.it/mRVi
2020-12-21,Larry David: Curb Your Enthusiasm,1999,https://boxd.it/7L3a
2020-12-21,Sexy Beast,2000,https://boxd.it/1SZS
2020-12-21,Scenes from a Marriage,1974,https://boxd.it/4kJC
2020-12-21,One Cut of the Dead,2017,https://boxd.it/iAFu
2020-12-22,The Father,2020,https://boxd.it/m8Ie
2020-12-24,Saint Maud,2019,https://boxd.it/l8QA
2020-12-24,Minari,2020,https://boxd.it/mL9M
2020-12-24,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm
2020-12-25,Alone,2020,https://boxd.it/ir2y
2021-01-02,Machete Kills Again... in Space,,https://boxd.it/hjEi
2021-01-07,Waiting for the Barbarians,2019,https://boxd.it/igTw
2021-02-04,Conan the Barbarian,1982,https://boxd.it/1YOm
2021-02-06,Malcolm & Marie,2021,https://boxd.it/r5cO
2021-02-24,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG
2021-03-27,Edge of Tomorrow,2014,https://boxd.it/4pD0
2021-04-08,The Artist,2011,https://boxd.it/2AwK
2021-04-10,The Elephant Man,1980,https://boxd.it/27LQ
2021-06-30,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2021-07-05,Hellraiser,1987,https://boxd.it/1Zpi
2021-07-24,Matchstick Men,2003,https://boxd.it/215a
2021-08-08,Cure,1997,https://boxd.it/1blA
2021-08-08,The Banishment,2007,https://boxd.it/1wk4
2021-08-09,John and the Hole,2021,https://boxd.it/psLe
2021-09-01,Timecode,2000,https://boxd.it/1b1A
2021-09-03,Brotherhood of the Wolf,2001,https://boxd.it/21OY
2021-09-03,Stardust,2007,https://boxd.it/272w
2021-09-03,Who You Think I Am,2019,https://boxd.it/jRhG
2021-09-12,Take Shelter,2011,https://boxd.it/DQ
2021-09-15,You Are Not My Mother,2021,https://boxd.it/sYCO
2021-09-21,The Power of the Dog,2021,https://boxd.it/m99E
2021-10-15,The Guest,2014,https://boxd.it/76RS
2021-11-05,Nothing Underneath,1985,https://boxd.it/b2m
2021-11-05,Moulin Rouge!,2001,https://boxd.it/29wI
2021-11-17,A Simple Plan,1998,https://boxd.it/1WMo
2021-12-10,Mind Game,2004,https://boxd.it/1Bv2
2021-12-20,Words Bubble Up Like Soda Pop,2020,https://boxd.it/ljhG
2021-12-28,Anna,2019,https://boxd.it/hqQq
2021-12-28,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk
2022-01-02,Soylent Green,1973,https://boxd.it/1SxE
2022-01-14,Deep Red,1975,https://boxd.it/1E1E
2022-02-06,The Worst Person in the World,2021,https://boxd.it/oyws
2022-02-12,Dances with Wolves,1990,https://boxd.it/2a4K
2022-03-09,The Humans,2021,https://boxd.it/lEQM
